Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6969,Emma,Jane Austen,"Austen, Jane",Fiona Stafford,"=""0141439580""","=""9780141439587""",0,4.05,Penguin Books,Paperback,474,2003,1815,,2021/07/10,to-read,to-read (#82),to-read,,,,0,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",0,3.81,Crown,Hardcover,273,2019,2018,,2021/07/10,to-read,to-read (#81),to-read,,,,0,0
126587,Manhattan Transfer,John Dos Passos,"Passos, John Dos",,"=""0618381864""","=""9780618381869""",0,3.64,Mariner Books Classics,Paperback,342,2003,1925,,2021/07/10,to-read,to-read (#80),to-read,,,,0,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",0,3.70,Penguin Books ,Paperback,182,1999,1954,,2021/07/10,to-read,to-read (#79),to-read,,,,0,0
6192,Disgrace,J.M. Coetzee,"Coetzee, J.M.",,"=""0143036378""","=""9780143036371""",0,3.86,Penguin Books,Paperback,220,2005,1999,,2021/07/10,to-read,to-read (#78),to-read,,,,0,0
33621427,Home Fire,Kamila Shamsie,"Shamsie, Kamila",,"=""0735217688""","=""9780735217683""",0,4.02,Riverhead Books,Hardcover,276,2017,2017,,2021/07/10,to-read,to-read (#77),to-read,,,,0,0
4950,The Hungry Tide,Amitav Ghosh,"Ghosh, Amitav",,"=""061871166X""","=""9780618711666""",0,3.99,Harper Perennial,Paperback,333,2006,2004,,2021/07/10,to-read,to-read (#76),to-read,,,,0,0
21400742,Outline,Rachel Cusk,"Cusk, Rachel",,"=""0571233627""","=""9780571233625""",0,3.67,Faber & Faber,Hardcover,249,2014,2014,,2021/07/10,to-read,to-read (#75),to-read,,,,0,0
94318,Awareness: The Perils and Opportunities of Reality,Anthony de Mello,"Mello, Anthony de",J. Francis Stroud,"=""0385249373""","=""9780385249379""",0,4.29,Image,Paperback,184,1992,1990,,2021/06/20,to-read,to-read (#74),to-read,,,,0,0
48711165,Yes to Life: In Spite of Everything,Viktor E. Frankl,"Frankl, Viktor E.",,"=""080700555X""","=""9780807005552""",0,4.17,Beacon Press,Hardcover,136,2020,1946,,2021/06/20,to-read,to-read (#73),to-read,,,,0,0
46205669,"Recapture the Rapture: Rethinking God, Sex, and Death in a World That's Lost its Mind",Jamie Wheal,"Wheal, Jamie",,"=""006290549X""","=""9780062905499""",0,3.98,Harper,Kindle Edition,399,2021,,,2021/06/20,to-read,to-read (#71),to-read,,,,0,0
9434444,Lo que me queda por vivir,Elvira Lindo,"Lindo, Elvira",,"=""8432212946""","=""9788432212949""",0,3.55,Seix Barral,,272,2010,2010,,2021/06/09,to-read,to-read (#70),to-read,,,,0,0
11023952,Los enamoramientos,Javier Marías,"Marías, Javier",,"=""8420407135""","=""9788420407135""",0,3.56,Alfaguara,Paperback,401,2011,2011,,2021/06/09,to-read,to-read (#69),to-read,,,,0,0
6088007,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",,"=""""","=""""",0,3.89,Ace,Kindle Edition,288,2007,1984,,2021/05/29,to-read,to-read (#68),to-read,,,,0,0
44776411,The Hidden Half: How the World Conceals its Secrets,Michael Blastland,"Blastland, Michael",,"=""""","=""""",0,3.68,Atlantic Books,ebook,307,2019,2019,,2021/05/29,to-read,to-read (#67),to-read,,,,0,0
21535310,The Fall of the Ottomans: The Great War in the Middle East,Eugene Rogan,"Rogan, Eugene",,"=""046502307X""","=""9780465023073""",0,4.17,Basic Books,Hardcover,512,2015,2015,,2021/05/05,to-read,to-read (#66),to-read,,,,0,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""038549081X""","=""9780385490818""",0,4.15,Anchor Books,Paperback,311,1998,1985,,2021/05/04,to-read,to-read (#65),to-read,,,,0,0
15014,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,"Patterson, Kerry","Stephen R. Covey, Joseph Grenny, Ron McMillan, Al Switzler","=""0071401946""","=""9780071401944""",0,4.07,McGraw-Hill,Paperback,240,2002,2002,,2021/03/04,to-read,to-read (#64),to-read,,,,0,0
1845,Into the Wild,Jon Krakauer,"Krakauer, Jon",,"=""0385486804""","=""9780385486804""",0,4.02,Anchor Books,Paperback,207,1997,1996,,2021/03/02,to-read,to-read (#62),to-read,,,,0,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",0,4.28,Ace,Hardcover,658,2019,1965,,2021/03/02,to-read,to-read (#61),to-read,,,,0,0
12617,Manufacturing Consent: The Political Economy of the Mass Media,Edward S. Herman,"Herman, Edward S.",Noam Chomsky,"=""0375714499""","=""9780375714498""",0,4.24,Knopf Doubleday Publishing Group,Paperback,412,2002,1988,,2021/03/02,to-read,to-read (#60),to-read,,,,0,0
21343,The Five Dysfunctions of a Team,Patrick Lencioni,"Lencioni, Patrick",,"=""0787960756""","=""9780787960759""",0,4.11,FisicalBook,Paperback,228,2011,2002,,2021/03/02,to-read,to-read (#59),to-read,,,,0,0
16130826,Content Strategy for Mobile,Karen Mcgrane,"Mcgrane, Karen",,"=""1937557081""","=""9781937557089""",0,4.01,A Book Apart,Paperback,165,2012,2012,,2021/02/23,to-read,to-read (#58),to-read,,,,0,0
44056365,Testing Business Ideas: A Field Guide for Rapid Experimentation (The Strategyzer Series Book 3),David J. Bland,"Bland, David J.",Alexander Osterwalder,"=""1119551412""","=""9781119551416""",0,4.25,Wiley,Kindle Edition,368,2019,,,2021/02/22,to-read,to-read (#57),to-read,,,,0,0
25374501,The Lean Product Playbook: How to Innovate with Minimum Viable Products and Rapid Customer Feedback,Dan  Olsen,"Olsen, Dan",,"=""""","=""""",0,4.27,Wiley,Kindle Edition,307,2015,2015,,2021/02/22,to-read,to-read (#56),to-read,,,,0,0
18736925,Capital in the Twenty First Century,Thomas Piketty,"Piketty, Thomas",Arthur Goldhammer,"=""067443000X""","=""9780674430006""",0,4.06,Belknap Press: An Imprint of Harvard University Press,Hardcover,685,2014,2013,,2014/05/23,"economics, to-read","economics (#3), to-read (#55)",to-read,,,,1,0
7184066,Fault Lines: How Hidden Fractures Still Threaten the World Economy,Raghuram G. Rajan,"Rajan, Raghuram G.",,"=""0691146837""","=""9780691146836""",0,4.11,Princeton University Press,Hardcover,260,2010,2010,,2014/05/21,"economics, to-read","economics (#2), to-read (#54)",to-read,,,,1,0
6372440,This Time Is Different: Eight Centuries of Financial Folly,Carmen M. Reinhart,"Reinhart, Carmen M.",Kenneth S. Rogoff,"=""0691142165""","=""9780691142166""",0,3.76,Princeton University Press,Hardcover,460,2009,2009,,2014/05/21,"economics, to-read","economics (#1), to-read (#53)",to-read,,,,1,0
11878168,Anything You Want,Derek Sivers,"Sivers, Derek",,"=""1936719150""","=""9781936719150""",4,4.11,,Kindle Edition,88,,2011,,2021/02/03,,,read,,,,1,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",0,3.98,Viking,Hardcover,288,2020,2020,,2020/12/09,to-read,to-read (#49),to-read,,,,0,0
